mgi_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
A730020M07Rik,-1.223765033,0.45240222,-3.486390497,0.002956867,0.107903225,-2.16263799
Abcb1b,1.029246795,2.362919651,2.528725279,0.022051338,0.280123835,-4.178866802
Abcc4,2.147872925,5.958633458,5.184595654,8.36E-05,0.011435456,1.114758631
Abcg1,1.070544845,1.977178239,2.784741082,0.013026655,0.265904983,-3.655590026
Abhd14b,-1.218948738,7.549272744,-6.413788925,7.63E-06,0.00291252,3.494249658
Abhd3,-1.306155069,3.113629121,-6.210204066,1.12E-05,0.003533274,3.200207659
Abi2,-1.687748101,6.386570937,-3.096297863,0.006777235,0.179486398,-3.254886404
Acaa2,1.629457521,6.632142827,5.107602428,9.78E-05,0.012472133,0.920637769
Acacb,1.386656536,4.147179115,3.958614125,0.001079119,0.059495907,-1.353220742
Acbd4,-1.11892685,4.525265409,-3.902495839,0.001216202,0.063899636,-1.468433003
Ace,-1.52375752,4.942318202,-5.209776505,7.95E-05,0.011166584,1.196775766
Acmsd,-1.389743652,6.096960388,-4.424975617,0.000401919,0.031275808,-0.498329406
Acnat2,1.212147332,4.72279276,3.448903441,0.00320313,0.114006135,-2.500692388
Acot2,1.330831914,5.730597735,4.255488948,0.000574582,0.039634734,-0.80246708
Acot3,1.547592564,4.949144214,3.91312502,0.001188954,0.063216117,-1.487738277
Acot5,1.052385618,-0.265465087,2.680972132,0.016147018,0.265904983,-3.943829555
Acsf2,1.700262967,1.384791057,3.452600115,0.003177966,0.113577497,-2.277504775
Acsl1,1.122933798,6.648672244,2.98316081,0.008603146,0.206615431,-3.548163756
Acsm1,-1.16707556,8.013893171,-4.351741507,0.000468915,0.034737097,-0.727753539
Acsm2,-1.577491826,11.63049199,-6.937944557,2.92E-06,0.001642638,4.298477857
Acsm3,-2.822567558,4.333008585,-5.676825284,3.13E-05,0.006830647,2.184190064
Acta1,1.146257745,0.061569377,3.604518494,0.002297632,0.09342281,-1.947454802
Actn2,1.460104575,0.957373628,6.401391786,7.81E-06,0.00291252,3.76132821
Acy3,-1.87409268,10.7629374,-4.299072121,0.000524028,0.037302517,-0.95272597
Acyp2,-1.148168169,2.218517131,-4.758031972,0.000200497,0.020086848,0.400261948
Adamts15,-1.596203002,4.540551221,-5.422238591,5.18E-05,0.008730405,1.695412938
Adck1,1.053212578,5.185078365,2.518473489,0.022515293,0.283934114,-4.426994549
Adcy2,-1.76975431,0.014024849,-4.998428497,0.000122183,0.014689151,1.002577654
Adh1,-1.696390922,8.796878917,-6.496216875,6.54E-06,0.002749388,3.588319143
Afmid,-2.599112638,1.96595537,-7.044463081,2.42E-06,0.001515319,4.93473983
